1104,2138,46,-96303,-3206,-143,-81131,-2005,-173
1120,2178,48,-96328,-3191,-143,-81146,-2059,-168
1136,2198,47,-96354,-3243,-145,-81163,-2038,-166
1152,2199,47,-96375,-3247,-142,-81177,-2081,-155
1169,2272,43,-96399,-3023,-156,-81193,-2067,-153
1186,2361,38,-96425,-3162,-146,-81207,-1959,-152
1200,2157,46,-96446,-3047,-150,-81222,-1998,-151
1217,2214,45,-96472,-3252,-144,-81236,-1965,-147
1235,2221,47,-96498,-3289,-146,-81252,-1892,-152
1251,2221,47,-96523,-3231,-144,-81267,-1865,-149
1267,2276,38,-96548,-3220,-145,-81281,-1851,-142
1283,2172,45,-96573,-3322,-140,-81296,-1929,-139
1299,2090,51,-96600,-3379,-130,-81312,-2030,-127
1317,2090,48,-96626,-3280,-136,-81328,-1929,-121
1332,2030,54,-96649,-3055,-143,-81342,-1936,-116
1348,2072,61,-96674,-3173,-140,-81356,-1850,-125
1414,2098,55,-96772,-3271,-139,-81416,-1791,-116
1432,2055,64,-96797,-3301,-137,-81429,-1763,-120
1449,2068,69,-96824,-3322,-137,-81444,-1804,-109
1466,2358,52,-96850,-3220,-139,-81457,-1727,-120
1481,2406,47,-96873,-3265,-135,-81470,-1736,-120
1501,2240,44,-96899,-3270,-130,-81484,-1834,-112
1519,2057,56,-96926,-3301,-130,-81498,-1729,-125
1537,2116,56,-96950,-3178,-137,-81511,-1689,-132
1553,2229,47,-96970,-3171,-141,-81523,-1755,-125
1572,2167,42,-96997,-3008,-149,-81535,-1682,-139
1589,2060,52,-97023,-3097,-148,-81550,-1754,-136
1607,2255,38,-97048,-3179,-147,-81563,-1685,-148
1622,2197,36,-97070,-3170,-146,-81575,-1788,-149
1638,2026,47,-97096,-3213,-143,-81589,-1826,-142
1654,2123,45,-97122,-3306,-139,-81603,-1778,-156
1669,2143,42,-97148,-3339,-137,-81619,-1807,-151
1684,2022,56,-97172,-3209,-140,-81631,-1763,-162
1699,2254,47,-97198,-3265,-137,-81646,-1861,-149
1717,2086,51,-97223,-3301,-135,-81659,-1699,-165
1731,2127,47,-97246,-3130,-139,-81672,-1831,-157
1749,2247,43,-97272,-3158,-142,-81684,-1779,-159
1765,2114,59,-97297,-3249,-144,-81700,-1735,-168
1785,2321,41,-97323,-3309,-143,-81714,-1928,-154
1800,2267,50,-97344,-3175,-149,-81726,-1746,-167
1877,2224,37,-97454,-3421,-135,-81787,-1888,-161
1895,2207,35,-97479,-3330,-140,-81802,-1806,-160
1912,2262,29,-97507,-3373,-139,-81816,-1894,-154
1931,2066,45,-97533,-3261,-143,-81830,-1816,-157
1945,2161,37,-97556,-3281,-142,-81843,-1791,-163
1962,2126,43,-97581,-3189,-150,-81859,-1924,-148
1980,2214,31,-97607,-3337,-150,-81872,-1876,-149
1994,2145,41,-97630,-3360,-152,-81886,-1805,-148
2012,2180,37,-97656,-3427,-147,-81901,-1841,-145
2029,2229,34,-97682,-3319,-154,-81917,-1850,-140
2045,2139,44,-97708,-3399,-152,-81931,-1833,-137
2060,2243,40,-97732,-3348,-154,-81944,-1833,-133
2079,2012,50,-97760,-3412,-155,-81957,-1872,-133
2094,2223,43,-97787,-3293,-159,-81970,-1808,-133
2112,2281,39,-97813,-3466,-152,-81985,-1768,-133
2127,2185,46,-97836,-3453,-151,-81996,-1792,-130
2146,2178,49,-97864,-3420,-153,-82009,-1845,-125
2163,2262,42,-97890,-3319,-154,-82025,-1828,-120
2180,2235,42,-97918,-3326,-156,-82040,-1795,-120
2196,2222,47,-97942,-3394,-153,-82051,-1943,-109
2213,2192,48,-97969,-3394,-149,-82065,-1763,-115
2232,2327,40,-97995,-3365,-151,-82080,-1805,-114
2248,2322,39,-98019,-3362,-150,-82091,-1847,-114
2265,2175,52,-98046,-3390,-149,-82106,-1787,-114
2283,2260,49,-98075,-3431,-143,-82120,-1664,-122
2351,2352,46,-98181,-3495,-136,-82175,-1775,-117
2370,2285,47,-98208,-3418,-139,-82188,-1721,-116
2387,2277,52,-98231,-3360,-142,-82201,-1658,-118
2406,2222,52,-98258,-3358,-147,-82214,-1710,-119
2424,2224,49,-98285,-3403,-143,-82226,-1661,-125
2441,2198,48,-98308,-3315,-150,-82237,-1569,-134
2458,2275,45,-98335,-3267,-153,-82249,-1537,-142
2476,2216,47,-98360,-3436,-152,-82263,-1568,-147
2493,2254,49,-98387,-3387,-151,-82276,-1756,-137
2507,2313,46,-98411,-3479,-146,-82286,-1728,-145
2525,2254,49,-98440,-3361,-148,-82300,-1773,-142
